title,price
iPhone 13 (128GB) - Starlight,"₹51,499"
iPhone 14 Plus (128 GB) - Starlight,"₹65,999"
iPhone 14 (256 GB) - (Product) RED,"₹65,999"
iPhone 13 (128GB) - Starlight,"₹51,499"
iPhone 13 (128GB) - Green,"₹51,499"
iPhone 15 Pro (256 GB) - Natural Titanium,"₹1,40,990"
iPhone 14 Plus (128 GB) - Starlight,"₹65,999"
iPhone 13 (128GB) - Midnight,"₹51,499"
iPhone 14 Plus (128 GB) - Midnight,"₹65,999"
iPhone 13 (256GB) - Midnight,"₹61,999"
iPhone 14 (128 GB) - (Product) RED,"₹56,999"
iPhone 13 (128GB) - (Product) RED,"₹49,999"
iPhone 14 Plus (128 GB) - (Product) RED,"₹65,999"
iPhone 14 (128 GB) - Midnight,"₹57,999"
iPhone 14 Plus (128 GB) - Yellow,"₹65,999"
iPhone 15 Pro (128 GB) - Black Titanium,"₹1,30,990"
iPhone 15 Pro (256 GB) - Blue Titanium,"₹1,40,990"
iPhone 15 Pro Max (256 GB) - White Titanium,"₹1,56,900"
